EXPLO_DATE,FULL_NAME,LENGTH,DUPLICATE_LENGTH,SURNAME,,,,
01.02.08,Pirates2008.CuevaPirates,72.45,0,Centre Terre,,,UP2008,370.41
01.02.08,Pirates2008.CuevaPirates,297.96,0,Centre Terre,,,MDD2008,1507.12
06.04.08,a.Anglais2008.CuevaPirates,245.19,137.9,Oxford University Caving Club,,,UP2023,932.85
07.04.08,b.Anglais2008.CuevaPirates,354.54,0,Oxford University Caving Club,,,,
08.04.08,c.Anglais2008.CuevaPirates,209.65,0,Oxford University Caving Club,,,,
08.04.08,DodgyPlumbingResurvey.CuevaPirates,167.1,0,Oxford University Caving Club,,,,
09.04.08,d.Anglais2008.CuevaPirates,147.11,0,Oxford University Caving Club,,,,
09.04.08,UnCaillouDansLaCulotte.CuevaPirates,59.42,0,Oxford University Caving Club,,,,
09.04.08,Girafe.CuevaPirates,54.26,0,Oxford University Caving Club,,,,
10.04.08,e.Anglais2008.CuevaPirates,269.85,0,Oxford University Caving Club,,,,
07.02.23,PiratesJonction.CuevaPirates,139.89,26.82,Centre Terre,,,,
08.02.23,Ascension.CuevaPirates,54.11,0,Centre Terre,,,,
08.02.23,PrioriteADroite.CuevaPirates,147.81,0,Centre Terre,,,,
09.02.23,SalinasNew4.CuevaPirates,62.85,28.4,Centre Terre,,,,
09.02.23,SalinasNew3.CuevaPirates,63.14,0,Centre Terre,,,,
09.02.23,SalinasNew5.CuevaPirates,85.09,44.46,Centre Terre,,,,
10.02.23,PinceMi.CuevaPirates,131.7,9.47,Centre Terre,,,,
10.02.23,UnCaillouDansLaCulotte.CuevaPirates,39.37,0,Centre Terre,,,,
13.02.23,Girafe.CuevaPirates,113.89,0,Centre Terre,,,,
18.02.23,SiphonAmont.CuevaPirates,95,0,Centre Terre,,,,